HVX start time, HVX end time, total active time(ms), total pcycles(Mcycles),total Mpackets, HVX Mpackets, Total DDR read(MB), Total DDR write(MB)
0:20:50:222, 0:20:50:231, 10.00,13.26,11.79,9.27,25.30,20.34
0:20:50:264, 0:20:50:273, 10.00,13.26,11.72,9.26,25.49,20.50
0:20:50:301, 0:20:50:310, 10.00,13.26,11.70,9.30,25.41,20.42
0:20:50:331, 0:20:50:340, 10.00,13.26,11.94,9.35,25.68,20.82
0:20:50:364, 0:20:50:373, 10.00,13.26,11.82,9.30,25.05,20.30
0:20:50:398, 0:20:50:407, 10.00,13.25,11.86,9.27,25.34,20.42
0:20:50:429, 0:20:50:438, 10.00,13.26,11.66,9.23,25.15,20.20
0:20:50:687, 0:20:50:696, 10.00,13.26,11.78,9.29,24.88,20.05
0:20:50:722, 0:20:50:731, 10.00,13.25,11.76,9.23,25.54,20.36
0:20:50:761, 0:20:50:770, 10.00,13.26,11.76,9.27,25.71,20.78
0:20:50:802, 0:20:50:811, 10.00,13.27,11.62,9.26,25.09,20.17
0:20:50:842, 0:20:50:851, 10.00,13.26,11.60,9.37,24.31,19.66
0:20:50:873, 0:20:50:882, 10.00,13.25,11.73,9.21,25.67,20.35
0:20:50:904, 0:20:50:913, 10.00,13.27,11.60,9.28,24.61,19.87
0:20:50:945, 0:20:50:954, 10.00,13.26,11.75,9.24,25.59,20.51
0:20:50:981, 0:20:50:990, 10.00,13.26,11.77,9.34,24.69,19.97
0:20:51:17, 0:20:51:26, 10.00,13.26,11.70,9.24,25.68,20.50
0:20:51:56, 0:20:51:65, 10.00,13.25,11.73,9.17,25.53,20.16
0:20:51:87, 0:20:51:96, 10.00,13.25,11.71,9.22,25.56,20.37
0:20:51:121, 0:20:51:130, 10.00,13.26,11.83,9.35,25.67,20.81
0:20:51:159, 0:20:51:167, 9.00,11.93,11.30,9.19,24.33,19.22
0:20:51:195, 0:20:51:204, 10.00,13.25,11.78,9.24,25.74,20.62
0:20:51:225, 0:20:51:234, 10.00,13.25,11.75,9.24,25.78,20.66
0:20:51:261, 0:20:51:270, 10.00,13.26,11.75,9.24,25.57,20.53
0:20:51:293, 0:20:51:302, 10.00,13.26,11.68,9.23,25.76,20.46
0:20:51:331, 0:20:51:340, 10.00,13.26,11.76,9.27,25.52,20.56
0:20:51:366, 0:20:51:375, 10.00,13.26,11.77,9.26,25.74,20.66
